KEY_CODE,市区町村,地価平均,年度,人口
8201,水戸市,113888,2002年,262949
8201,水戸市,101556,2003年,263845
8201,水戸市,89555,2004年,264136
8201,水戸市,81710,2005年,262603
8201,水戸市,76908,2006年,263267
8201,水戸市,74813,2007年,263661
8201,水戸市,75058,2008年,264171
8201,水戸市,72619,2009年,265270
8201,水戸市,69413,2010年,268750
8201,水戸市,66602,2011年,269025
8201,水戸市,62440,2012年,269681
8201,水戸市,58828,2013年,270859
8201,水戸市,56601,2014年,270876
8201,水戸市,54989,2015年,270783
8201,水戸市,53807,2016年,271047
8201,水戸市,53740,2017年,270775
8201,水戸市,53420,2018年,270289
8201,水戸市,53207,2019年,269661
8201,水戸市,53031,2020年,270685
8201,水戸市,52728,2021年,270450
8201,水戸市,52298,2022年,269502
8201,水戸市,52016,2023年,268231
8202,日立市,75152,2002年,204679
8202,日立市,68722,2003年,203502
8202,日立市,63135,2004年,201785
8202,日立市,58266,2005年,199218
8202,日立市,54747,2006年,197880
8202,日立市,53270,2007年,196251
8202,日立市,52156,2008年,194750
8202,日立市,50778,2009年,193559
8202,日立市,47900,2010年,193129
8202,日立市,45522,2011年,191422
8202,日立市,41864,2012年,189829
8202,日立市,40540,2013年,187503
8202,日立市,40588,2014年,185206
8202,日立市,39883,2015年,185054
8202,日立市,39224,2016年,182905
8202,日立市,38897,2017年,180781
8202,日立市,38646,2018年,178658
8202,日立市,38436,2019年,176069
8202,日立市,38099,2020年,174508
8202,日立市,37873,2021年,171888
8202,日立市,37712,2022年,169036
8202,日立市,37569,2023年,166302
8203,土浦市,74703,2002年,144788
8203,土浦市,65067,2003年,144404
8203,土浦市,56618,2004年,144612
8203,土浦市,49978,2005年,144060
8203,土浦市,45071,2006年,143703
8203,土浦市,42140,2007年,143909
8203,土浦市,41210,2008年,143700
8203,土浦市,40202,2009年,144534
8203,土浦市,38535,2010年,143839
8203,土浦市,36607,2011年,143460
8203,土浦市,34820,2012年,143404
8203,土浦市,33295,2013年,142567
8203,土浦市,34340,2014年,142059
8203,土浦市,34178,2015年,140804
8203,土浦市,32787,2016年,140226
8203,土浦市,32990,2017年,139653
8203,土浦市,32976,2018年,139414
8203,土浦市,32990,2019年,138517
8203,土浦市,33019,2020年,142074
8203,土浦市,32863,2021年,141844
8203,土浦市,33100,2022年,141980
8203,土浦市,32876,2023年,142066
8204,古河市,66520,2002年,146674
8204,古河市,62569,2003年,146640
8204,古河市,57146,2004年,146714
8204,古河市,52260,2005年,145265
8204,古河市,48832,2006年,144760
8204,古河市,47471,2007年,144389
8204,古河市,46847,2008年,144228
8204,古河市,45991,2009年,143870
8204,古河市,44822,2010年,142995
8204,古河市,43185,2011年,142435
8204,古河市,41958,2012年,142298
8204,古河市,41097,2013年,141952
8204,古河市,40431,2014年,141188
8204,古河市,40309,2015年,140946
8204,古河市,40644,2016年,140509
8204,古河市,40602,2017年,140556
8204,古河市,40602,2018年,139853
8204,古河市,40617,2019年,139274
8204,古河市,40655,2020年,139344
8204,古河市,40602,2021年,138620
8204,古河市,40638,2022年,138209
8204,古河市,39979,2023年,137715
8205,石岡市,47988,2002年,83053
8205,石岡市,44081,2003年,83147
8205,石岡市,39162,2004年,83048
8205,石岡市,35076,2005年,81887
8205,石岡市,31461,2006年,81277
8205,石岡市,29100,2007年,80598
8205,石岡市,27872,2008年,80105
8205,石岡市,26843,2009年,79307
8205,石岡市,25410,2010年,79687
8205,石岡市,23875,2011年,78849
8205,石岡市,22360,2012年,78057
8205,石岡市,22861,2013年,77302
8205,石岡市,22049,2014年,76713
8205,石岡市,21515,2015年,76020
8205,石岡市,21226,2016年,75346
8205,石岡市,21047,2017年,74666
8205,石岡市,20909,2018年,73883
8205,石岡市,20800,2019年,73110
8205,石岡市,20706,2020年,73061
8205,石岡市,20589,2021年,72050
8205,石岡市,20489,2022年,71173
8205,石岡市,20433,2023年,70333
8207,結城市,55225,2002年,52803
8207,結城市,51841,2003年,52858
8207,結城市,48541,2004年,52851
8207,結城市,44758,2005年,52460
8207,結城市,41641,2006年,52317
8207,結城市,39766,2007年,52048
8207,結城市,38763,2008年,52145
8207,結城市,37454,2009年,52180
8207,結城市,35718,2010年,52494
8207,結城市,33610,2011年,52187
8207,結城市,32050,2012年,51901
8207,結城市,31130,2013年,51726
8207,結城市,30365,2014年,51642
8207,結城市,29900,2015年,51594
8207,結城市,29570,2016年,51603
8207,結城市,29380,2017年,51476
8207,結城市,29300,2018年,51160
8207,結城市,29250,2019年,50817
8207,結城市,29230,2020年,50645
8207,結城市,29190,2021年,50018
8207,結城市,29330,2022年,49768
8207,結城市,29350,2023年,49321
8208,龍ケ崎市,63180,2002年,78557
8208,龍ケ崎市,56773,2003年,79274
8208,龍ケ崎市,50907,2004年,79879
8208,龍ケ崎市,46473,2005年,78950
8208,龍ケ崎市,42988,2006年,79178
8208,龍ケ崎市,40920,2007年,79117
8208,龍ケ崎市,39291,2008年,79215
8208,龍ケ崎市,38221,2009年,79410
8208,龍ケ崎市,36343,2010年,80334
8208,龍ケ崎市,35952,2011年,80014
8208,龍ケ崎市,34476,2012年,79570
8208,龍ケ崎市,33919,2013年,79279
8208,龍ケ崎市,35247,2014年,78945
8208,龍ケ崎市,34963,2015年,78342
8208,龍ケ崎市,34020,2016年,77894
8208,龍ケ崎市,32842,2017年,77433
8208,龍ケ崎市,32823,2018年,77078
8208,龍ケ崎市,32828,2019年,76741
8208,龍ケ崎市,32828,2020年,76420
8208,龍ケ崎市,32690,2021年,76014
8208,龍ケ崎市,32580,2022年,75605
8208,龍ケ崎市,32566,2023年,75338
8210,下妻市,50455,2002年,46788
8210,下妻市,47233,2003年,46816
8210,下妻市,43177,2004年,46863
8210,下妻市,39188,2005年,46435
8210,下妻市,35866,2006年,46188
8210,下妻市,34333,2007年,46001
8210,下妻市,33211,2008年,45594
8210,下妻市,32411,2009年,45437
8210,下妻市,30855,2010年,44987
8210,下妻市,28862,2011年,44527
8210,下妻市,27475,2012年,44125
8210,下妻市,26362,2013年,43829
8210,下妻市,25712,2014年,43511
8210,下妻市,25287,2015年,43293
8210,下妻市,24762,2016年,42996
8210,下妻市,24650,2017年,42705
8210,下妻市,24375,2018年,42309
8210,下妻市,24112,2019年,41964
8210,下妻市,23862,2020年,42521
8210,下妻市,23612,2021年,42169
8210,下妻市,23462,2022年,41830
8210,下妻市,23312,2023年,41590
8211,常総市,48270,2002年,66815
8211,常総市,44960,2003年,67213
8211,常総市,41275,2004年,67551
8211,常総市,38521,2005年,66536
8211,常総市,36321,2006年,66107
8211,常総市,35477,2007年,66018
8211,常総市,35700,2008年,65815
8211,常総市,34488,2009年,65540
8211,常総市,32988,2010年,65320
8211,常総市,31837,2011年,64778
8211,常総市,30631,2012年,64258
8211,常総市,28787,2013年,63634
8211,常総市,28264,2014年,62957
8211,常総市,27835,2015年,61483
8211,常総市,26156,2016年,60893
8211,常総市,25875,2017年,60829
8211,常総市,25162,2018年,60337
8211,常総市,24806,2019年,59647
8211,常総市,24587,2020年,60834
8211,常総市,24362,2021年,60393
8211,常総市,24237,2022年,59999
8211,常総市,24131,2023年,59432
8212,常陸太田市,51741,2002年,61442
8212,常陸太田市,48116,2003年,61118
8212,常陸太田市,44583,2004年,60578
8212,常陸太田市,41350,2005年,59802
8212,常陸太田市,38583,2006年,59109
8212,常陸太田市,36663,2007年,58573
8212,常陸太田市,35145,2008年,57750
8212,常陸太田市,32940,2009年,56987
8212,常陸太田市,31340,2010年,56250
8212,常陸太田市,28922,2011年,55424
8212,常陸太田市,26333,2012年,54573
8212,常陸太田市,25100,2013年,53684
8212,常陸太田市,24155,2014年,52959
8212,常陸太田市,23500,2015年,52294
8212,常陸太田市,22911,2016年,51454
8212,常陸太田市,22470,2017年,50728
8212,常陸太田市,22128,2018年,49767
8212,常陸太田市,23643,2019年,48758
8212,常陸太田市,23468,2020年,48602
8212,常陸太田市,23282,2021年,47706
8212,常陸太田市,23163,2022年,46679
8212,常陸太田市,23093,2023年,45718
8214,高萩市,64800,2002年,34254
8214,高萩市,60780,2003年,33983
8214,高萩市,56680,2004年,33579
8214,高萩市,52680,2005年,32932
8214,高萩市,48980,2006年,32438
8214,高萩市,46280,2007年,32022
8214,高萩市,44280,2008年,31746
8214,高萩市,41740,2009年,31274
8214,高萩市,38320,2010年,31017
8214,高萩市,35280,2011年,30592
8214,高萩市,32560,2012年,30226
8214,高萩市,30520,2013年,29815
8214,高萩市,29020,2014年,29481
8214,高萩市,27820,2015年,29638
8214,高萩市,26880,2016年,29207
8214,高萩市,26120,2017年,28768
8214,高萩市,25480,2018年,28283
8214,高萩市,24940,2019年,27863
8214,高萩市,24480,2020年,27699
8214,高萩市,24000,2021年,27247
8214,高萩市,23760,2022年,26698
8214,高萩市,23620,2023年,26211
8215,北茨城市,64742,2002年,51115
8215,北茨城市,60528,2003年,50678
8215,北茨城市,55928,2004年,50219
8215,北茨城市,51585,2005年,49645
8215,北茨城市,48114,2006年,49058
8215,北茨城市,45814,2007年,48539
8215,北茨城市,44028,2008年,47861
8215,北茨城市,41785,2009年,47374
8215,北茨城市,39085,2010年,47026
8215,北茨城市,36628,2011年,46208
8215,北茨城市,33185,2012年,45468
8215,北茨城市,31014,2013年,44782
8215,北茨城市,29342,2014年,44220
8215,北茨城市,27814,2015年,44412
8215,北茨城市,27014,2016年,43716
8215,北茨城市,26400,2017年,43135
8215,北茨城市,25942,2018年,42681
8215,北茨城市,25585,2019年,42122
8215,北茨城市,25271,2020年,41801
8215,北茨城市,24928,2021年,41074
8215,北茨城市,24700,2022年,40541
8215,北茨城市,24542,2023年,39898
8216,笠間市,53241,2002年,82432
8216,笠間市,50433,2003年,82119
8216,笠間市,48250,2004年,81964
8216,笠間市,46616,2005年,81497
8216,笠間市,44725,2006年,81029
8216,笠間市,40575,2007年,80661
8216,笠間市,38250,2008年,80365
8216,笠間市,36172,2009年,79806
8216,笠間市,33918,2010年,79409
8216,笠間市,33160,2011年,78862
8216,笠間市,31380,2012年,78279
8216,笠間市,29860,2013年,77723
8216,笠間市,28610,2014年,77351
8216,笠間市,27550,2015年,76739
8216,笠間市,26760,2016年,76160
8216,笠間市,26420,2017年,75698
8216,笠間市,25980,2018年,75030
8216,笠間市,25600,2019年,74334
8216,笠間市,25260,2020年,73173
8216,笠間市,24920,2021年,72573
8216,笠間市,24690,2022年,72050
8216,笠間市,24490,2023年,71449
8217,取手市,93537,2002年,114155
8217,取手市,85813,2003年,113803
8217,取手市,78703,2004年,112818
8217,取手市,71996,2005年,111327
8217,取手市,67376,2006年,110633
8217,取手市,65697,2007年,110004
8217,取手市,64170,2008年,109673
8217,取手市,62633,2009年,109543
8217,取手市,60036,2010年,109651
8217,取手市,56951,2011年,108938
8217,取手市,54004,2012年,107894
8217,取手市,53400,2013年,107310
8217,取手市,52922,2014年,107025
8217,取手市,51986,2015年,106570
8217,取手市,50753,2016年,105985
8217,取手市,49319,2017年,105447
8217,取手市,48875,2018年,105129
8217,取手市,48148,2019年,104667
8217,取手市,47848,2020年,104524
8217,取手市,47558,2021年,103805
8217,取手市,46857,2022年,103780
8217,取手市,46696,2023年,103680
8219,牛久市,75718,2002年,74829
8219,牛久市,68493,2003年,75433
8219,牛久市,62275,2004年,76116
8219,牛久市,57519,2005年,77223
8219,牛久市,53515,2006年,77843
8219,牛久市,52038,2007年,78980
8219,牛久市,51059,2008年,80049
8219,牛久市,51705,2009年,80939
8219,牛久市,49580,2010年,81684
8219,牛久市,47827,2011年,82458
8219,牛久市,46142,2012年,82919
8219,牛久市,46700,2013年,83531
8219,牛久市,49985,2014年,83952
8219,牛久市,49585,2015年,84317
8219,牛久市,48722,2016年,84704
8219,牛久市,45054,2017年,84820
8219,牛久市,44919,2018年,84785
8219,牛久市,44851,2019年,84637
8219,牛久市,44804,2020年,84651
8219,牛久市,44630,2021年,84298
8219,牛久市,44529,2022年,84057
8219,牛久市,44612,2023年,83831
8220,つくば市,69192,2002年,195046
8220,つくば市,65531,2003年,196247
8220,つくば市,65630,2004年,198176
8220,つくば市,63950,2005年,200528
8220,つくば市,63613,2006年,203280
8220,つくば市,64378,2007年,206661
8220,つくば市,65373,2008年,209411
8220,つくば市,60300,2009年,212445
8220,つくば市,59677,2010年,214590
8220,つくば市,58068,2011年,215887
8220,つくば市,56334,2012年,217315
8220,つくば市,57980,2013年,219402
8220,つくば市,62762,2014年,221119
8220,つくば市,63635,2015年,226963
8220,つくば市,62505,2016年,230398
8220,つくば市,65866,2017年,233549
8220,つくば市,66364,2018年,237039
8220,つくば市,66980,2019年,240987
8220,つくば市,68116,2020年,241656
8220,つくば市,68473,2021年,246784
8220,つくば市,69748,2022年,252481
8220,つくば市,71790,2023年,255807
8221,ひたちなか市,72558,2002年,152309
8221,ひたちなか市,68158,2003年,152860
8221,ひたちなか市,63632,2004年,153250
8221,ひたちなか市,59503,2005年,153639
8221,ひたちなか市,55743,2006年,154579
8221,ひたちなか市,51008,2007年,155184
8221,ひたちなか市,47557,2008年,155960
8221,ひたちなか市,44632,2009年,156651
8221,ひたちなか市,41890,2010年,157060
8221,ひたちなか市,39650,2011年,157141
8221,ひたちなか市,37255,2012年,157153
8221,ひたちなか市,35432,2013年,156964
8221,ひたちなか市,34141,2014年,156704
8221,ひたちなか市,33379,2015年,155689
8221,ひたちなか市,33241,2016年,155884
8221,ひたちなか市,32953,2017年,155970
8221,ひたちなか市,32794,2018年,155681
8221,ひたちなか市,32715,2019年,155080
8221,ひたちなか市,32712,2020年,156581
8221,ひたちなか市,32664,2021年,155684
8221,ひたちなか市,32705,2022年,154987
8221,ひたちなか市,32892,2023年,154283
8222,鹿嶋市,40992,2002年,63104
8222,鹿嶋市,37414,2003年,63621
8222,鹿嶋市,33357,2004年,63935
8222,鹿嶋市,29764,2005年,64435
8222,鹿嶋市,26857,2006年,64781
8222,鹿嶋市,24623,2007年,65081
8222,鹿嶋市,23591,2008年,65513
8222,鹿嶋市,23436,2009年,65785
8222,鹿嶋市,22572,2010年,66093
8222,鹿嶋市,21750,2011年,66562
8222,鹿嶋市,20650,2012年,66688
8222,鹿嶋市,20509,2013年,66700
8222,鹿嶋市,20000,2014年,66802
8222,鹿嶋市,19763,2015年,67879
8222,鹿嶋市,19845,2016年,67754
8222,鹿嶋市,19995,2017年,67802
8222,鹿嶋市,20118,2018年,67578
8222,鹿嶋市,20243,2019年,67448
8222,鹿嶋市,20368,2020年,66950
8222,鹿嶋市,20354,2021年,66657
8222,鹿嶋市,21079,2022年,65980
8222,鹿嶋市,21120,2023年,65417
8223,潮来市,28258,2002年,31886
8223,潮来市,26980,2003年,31530
8223,潮来市,25405,2004年,31458
8223,潮来市,24142,2005年,31524
8223,潮来市,22646,2006年,31280
8223,潮来市,21535,2007年,31089
8223,潮来市,20994,2008年,30984
8223,潮来市,20361,2009年,30705
8223,潮来市,18501,2010年,30534
8223,潮来市,16846,2011年,30130
8223,潮来市,15452,2012年,29876
8223,潮来市,14595,2013年,29621
8223,潮来市,14051,2014年,29249
8223,潮来市,14037,2015年,29111
8223,潮来市,13918,2016年,28849
8223,潮来市,13822,2017年,28491
8223,潮来市,13730,2018年,28227
8223,潮来市,13637,2019年,27807
8223,潮来市,13549,2020年,27604
8223,潮来市,13462,2021年,27259
8223,潮来市,13379,2022年,26868
8223,潮来市,13305,2023年,26488
8224,守谷市,63462,2002年,51974
8224,守谷市,58354,2003年,52564
8224,守谷市,54767,2004年,53180
8224,守谷市,56405,2005年,53700
8224,守谷市,62626,2006年,55765
8224,守谷市,76411,2007年,57399
8224,守谷市,83611,2008年,58861
8224,守谷市,82317,2009年,60701
8224,守谷市,78747,2010年,62482
8224,守谷市,76829,2011年,62884
8224,守谷市,74758,2012年,63279
8224,守谷市,84805,2013年,63693
8224,守谷市,85593,2014年,64182
8224,守谷市,85906,2015年,64753
8224,守谷市,85794,2016年,65560
8224,守谷市,86076,2017年,66230
8224,守谷市,87211,2018年,66876
8224,守谷市,88505,2019年,67696
8224,守谷市,89811,2020年,68421
8224,守谷市,90205,2021年,69030
8224,守谷市,108134,2022年,69434
8224,守谷市,114243,2023年,69717
8225,常陸大宮市,47133,2002年,48591
8225,常陸大宮市,45766,2003年,48233
8225,常陸大宮市,44266,2004年,48073
8225,常陸大宮市,42500,2005年,47808
8225,常陸大宮市,41033,2006年,47386
8225,常陸大宮市,40133,2007年,46883
8225,常陸大宮市,39466,2008年,46435
8225,常陸大宮市,38400,2009年,45881
8225,常陸大宮市,36700,2010年,45178
8225,常陸大宮市,34300,2011年,44586
8225,常陸大宮市,31333,2012年,44077
8225,常陸大宮市,27466,2013年,43496
8225,常陸大宮市,26033,2014年,42963
8225,常陸大宮市,24966,2015年,42587
8225,常陸大宮市,24033,2016年,42018
8225,常陸大宮市,23333,2017年,41342
8225,常陸大宮市,22866,2018年,40747
8225,常陸大宮市,22366,2019年,39904
8225,常陸大宮市,22166,2020年,39267
8225,常陸大宮市,21900,2021年,38640
8225,常陸大宮市,21733,2022年,38056
8225,常陸大宮市,21566,2023年,37400
8226,那珂市,38018,2002年,55484
8226,那珂市,36568,2003年,55387
8226,那珂市,34273,2004年,55456
8226,那珂市,31652,2005年,54705
8226,那珂市,30652,2006年,54614
8226,那珂市,29225,2007年,54528
8226,那珂市,28318,2008年,54367
8226,那珂市,28227,2009年,54302
8226,那珂市,27447,2010年,54240
8226,那珂市,25914,2011年,53974
8226,那珂市,24803,2012年,53920
8226,那珂市,23761,2013年,53835
8226,那珂市,22993,2014年,53754
8226,那珂市,22743,2015年,54276
8226,那珂市,22324,2016年,54110
8226,那珂市,22091,2017年,53897
8226,那珂市,21966,2018年,53585
