name,description,latitude,longitude,color,icon
まーすた下北沢店,健康マージャン、麻雀教室、ノーレートフリーが遊べるお店。下北沢駅から徒歩3分。,35.66222665,139.669462547317,green,map-marker
まーすた王子店,健康マージャン、麻雀教室、ノーレートフリーが遊べるお店。王子駅から徒歩4分。,35.7555418129096,139.738005564417,green,map-marker
てんぱね,ノーレート麻雀とRPGを融合したシステムで、コスプレをした女の子と麻雀が打てる。秋葉原駅から徒歩8分。,35.70285306713,139.770736650925,green,map-marker
健康麻将&居酒屋麻雀ガラパゴス 高田馬場店,日本健康麻将協会所属店。海鮮丼付き飲み放題の居酒屋マージャン店。夜は居酒屋セット麻雀営業だが、昼間は曜日に応じて「麻雀教室」「健康マージャン」等営業。高田馬場駅から徒歩5分。,35.71175100734,139.708628364417,green,map-marker
麻雀ラブリースマイル ノーレートフリー雀荘,ノーレート雀荘。店内禁煙。中野駅周辺唯一のノーレート店。中野駅から徒歩5分。,35.70337499265,139.6649967459,green,map-marker
「かぼちゃ倶楽部」健康マージャン教室 両国カルチャーセンター,幅広い年代から愛されるお店。経験者コースや個人レッスンなど様々な層に対応。両国駅から徒歩1分。,35.69633944836,139.791207,green,map-marker
健康麻雀 ひよこ堂,日本プロ麻雀連盟公式ルールのノーレートフリーが遊べるお店。麻雀教室も開講中。浅草橋から徒歩1分。,35.69821001,139.7863827,green,map-marker
しぶとん,ノーレートフリーマージャン店。実力をレートに換算したシステムや月間賞など商品が盛りだくさん。渋谷駅から徒歩3分。,35.65715225,139.6974316,green,map-marker
雀友倶楽部 秋葉原店～ノーレート健康マージャン～,ノーレート競技サロン。健康マージャンや初心者教室、レベルアップ講座など様々なレベルの層に対応した教室が開講されている。私が一番よく行く雀荘。秋葉原駅から徒歩1分。,35.69863089,139.7763436,red,heart
麻雀OZ,完全禁煙のお店。月、水は女性限定の麻雀教室を開催。火、木は健康マージャンが楽しめる。高田馬場駅から徒歩1分。,35.71197766,139.7041797,green,map-marker
麻雀ベルバード新橋店【麻雀初心者の殿堂】,"東京で麻雀初心者のデビューに一番選ばれるノーレート麻雀店。毎月2,3回行われるプロ雀士のオフ会イベントも人気。椅子がとてもふかふかで嬉しい。新橋駅から徒歩2分。",35.66556089,139.7553981,red,map-marker
銀座花サロン,シニア層のお客様が多め。Ｍリーガー来店イベント開催実績が全国最多。セット営業と健康マージャン教室運営。,35.67017404,139.7602645,green,map-marker